"cliente","tipo_monitoramento","cliente_chave","usuario_responsavel","razao_social","rede","associacao","desc_associacao"
754891,G,N,172650,R S PB KIDS COMERCIO VAREJISTA DE BRINQUEDOS EIRELI - EPP,,29,RI HAPPY / PBKIDS
756178,G,N,172650,STREPULIA COMERCIO DE PRODUTOS IN FANTIS LTDA,,29,RI HAPPY / PBKIDS
763511,G,N,172650,MUCURIPE COMERCIO DE BRINQUEDOS EIRELI EPP,,29,RI HAPPY / PBKIDS
766477,G,N,172650,CELINA SANZOVO,,29,RI HAPPY / PBKIDS
792305,G,N,172650,DMA DISTRIBUIDORA S/A,792305,,
806326,G,S,172650,SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A,509268,,
825508,G,N,172650,LOJAS RIACHUELO SA,825508,,
861265,G,N,172650,SPACE TOYS COMERCIO DE PRODUTOS INFANTIS LTDA,,29,RI HAPPY / PBKIDS
887295,G,S,172650,SUPERMERCADO BAHAMAS S/A,887295,,
890569,G,N,172650,BTV COMERCIO DE BRINQUEDOS INFANTIS EIRELI,,29,RI HAPPY / PBKIDS
890619,G,N,172650,PBK BABY BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
890631,G,N,172650,MLB3 COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
890676,G,N,172650,UBERABA BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
890824,G,N,172650,JOLI COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
890844,G,N,172650,BLESSI COMERCIO DE BRINQUEDOS - EIRELI - EPP,,29,RI HAPPY / PBKIDS
890852,G,N,172650, AGM COMERCIO DE BRINQUEDOS EIRELI - ME,890852,29,RI HAPPY / PBKIDS
890859,G,N,172650,PLAY KIDS COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
890862,G,N,172650,MORAES BRINQUEDOS LTDA - EPP,,29,RI HAPPY / PBKIDS
890863,G,N,172650,MARVIN BRINQUEDOS LTDA.,,29,RI HAPPY / PBKIDS
890889,G,N,172650,MUNDO DOS BRINQUEDOS LTDA EPP,,29,RI HAPPY / PBKIDS
890932,G,N,172650,LOFT BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
893054,G,N,172650,COMERCIAL RIO JORDAO LTDA EPP,,29,RI HAPPY / PBKIDS
903071,G,N,172650,MAG COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
904938,G,N,172650,G A - BRINQUEDOS E ARTIGOS RECREATIVOS E INFANTIS EIRELI - ME,,29,RI HAPPY / PBKIDS
905104,G,N,172650,E R P COMERCIO DE BRINQUEDOS INFANTIS LTDA,,29,RI HAPPY / PBKIDS
905502,G,S,172650,LOJAS REDE - COMERCIAL LTDA,905502,,
909426,G,N,172650,KIDS FUN COMERCIO DE BRINQUEDOS EIRELI,,29,RI HAPPY / PBKIDS
918773,G,S,172650,COM DE MEDIC BRAIR LTDA,865265,,
919433,G,N,172650,BMC 3 COMERCIO DE BRINQUEDOS LTDA,890603,29,RI HAPPY / PBKIDS
924816,G,N,172650,SB COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
939295,G,N,172650,HAPPY CENTER COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
973408,G,N,172650,RENATA CLARK CAVALHEIRO LTDA,,29,RI HAPPY / PBKIDS
980135,G,N,172650,LIBRA COMERCIO DE ARTIGOS E ACESSORIOS LTDA,,29,RI HAPPY / PBKIDS
983884,G,N,172650,GIGATOYS COMERCIO VAREJISTA DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
